article_id,store_id,promo_year,event_code,promo_type,start_date,end_date,is_in_flyer,flyer_code
6066332,228,2017,D2,11,2017-11-30,2017-12-08,f,
180775,228,2017,L2,11,2017-11-02,2017-11-30,f,
9587339,228,2017,D2,11,2017-11-30,2017-12-08,f,
4529617,228,2017,D3,11,2017-12-09,2017-12-14,f,
4529617,228,2017,D2,04,2017-11-30,2017-12-08,t,
9675883,228,2017,D2,15,2017-11-30,2017-12-08,f,
5144000,228,2017,L3,15,2017-12-01,2017-12-31,f,
7246696,228,2017,D2,04,2017-11-30,2017-12-08,t,
7418550,228,2017,L3,20,2017-12-01,2017-12-31,f,
3062399,228,2017,L3,20,2017-12-01,2017-12-31,f,
9880805,228,2017,L3,20,2017-12-01,2017-12-31,f,
1394553,228,2017,D2,11,2017-11-30,2017-12-08,t,
1127908,228,2017,D4,11,2017-12-15,2017-12-31,t,
8362180,228,2017,D2,11,2017-11-30,2017-12-08,f,
3938625,228,2017,D2,11,2017-11-30,2017-12-31,f,
183424,228,2017,W1,11,2017-10-24,2018-12-31,f,
8070931,228,2017,D4,11,2017-12-15,2017-12-31,t,
9024421,228,2017,D2,11,2017-11-30,2017-12-08,f,
7296141,228,2017,D2,11,2017-11-30,2017-12-08,t,
5396072,228,2017,D2,11,2017-11-30,2017-12-08,f,
183813,228,2017,W1,11,2017-10-24,2018-12-31,f,
